set_num,name,year,theme_id,num_parts,img_url
7824-1,Railway Station,1983,235,479,https://cdn.rebrickable.com/media/sets/7824-1.jpg
7825-1,Creator Bucket,2002,674,500,https://cdn.rebrickable.com/media/sets/7825-1.jpg
7830-1,Small Blue Bucket,2002,674,200,https://cdn.rebrickable.com/media/sets/7830-1.jpg
783-1,Storage Case,1985,473,1,https://cdn.rebrickable.com/media/sets/783-1.jpg
7831-1,Make-believe Bucket,2002,674,200,https://cdn.rebrickable.com/media/sets/7831-1.jpg
7832-1,Small Blue Bucket,2002,22,200,https://cdn.rebrickable.com/media/sets/7832-1.jpg
7834-1,Level Crossing Manual,1980,234,95,https://cdn.rebrickable.com/media/sets/7834-1.jpg
7835-1,Manual Road Crossing,1985,235,134,https://cdn.rebrickable.com/media/sets/7835-1.jpg
7836-1,Halloween Bucket,2003,230,200,https://cdn.rebrickable.com/media/sets/7836-1.jpg
7837-1,Build and Create,2002,674,600,https://cdn.rebrickable.com/media/sets/7837-1.jpg
7838-1,Freight Loading Depot with Wagon,1983,235,326,https://cdn.rebrickable.com/media/sets/7838-1.jpg
7839-1,Car Transport Depot,1986,234,341,https://cdn.rebrickable.com/media/sets/7839-1.jpg
7840-1,Airport Action,2005,632,105,https://cdn.rebrickable.com/media/sets/7840-1.jpg
7841-1,Helicopter Rescue Unit,2005,632,33,https://cdn.rebrickable.com/media/sets/7841-1.jpg
7842-1,Jet Fuel Truck,2005,632,11,https://cdn.rebrickable.com/media/sets/7842-1.jpg
7843-1,Plane,2005,632,34,https://cdn.rebrickable.com/media/sets/7843-1.jpg
7844-1,Airport Rescue Truck,2004,632,30,https://cdn.rebrickable.com/media/sets/7844-1.jpg
7846-1,Dragon Tournament,2006,647,44,https://cdn.rebrickable.com/media/sets/7846-1.jpg
7848-1,Toys 'R' Us Truck,2010,63,356,https://cdn.rebrickable.com/media/sets/7848-1.jpg
7850-1,8 Straight Rails Gray 4.5v,1980,235,32,https://cdn.rebrickable.com/media/sets/7850-1.jpg
785-1,Red Box,1973,473,1,https://cdn.rebrickable.com/media/sets/785-1.jpg
7851-1,8 Curved Rails Gray 4.5v,1980,235,32,https://cdn.rebrickable.com/media/sets/7851-1.jpg
785-2,Red Box,1974,501,0,https://cdn.rebrickable.com/media/sets/785-2.jpg
7852-1,Left and Right Points Manual Gray 4.5v,1980,235,14,https://cdn.rebrickable.com/media/sets/7852-1.jpg
7853-1,"Crossing, Gray 4.5v",1980,235,5,https://cdn.rebrickable.com/media/sets/7853-1.jpg
7854-1,8 Straight Electric Rails Gray 12v,1980,234,8,https://cdn.rebrickable.com/media/sets/7854-1.jpg
7855-1,8 Curved Electric Rails Gray 12v,1980,234,8,https://cdn.rebrickable.com/media/sets/7855-1.jpg
7856-1,Left and Right Manual Points with Electric Rails,1980,234,16,https://cdn.rebrickable.com/media/sets/7856-1.jpg
7857-1,"Crossing, Electric Rails Gray 12v",1980,234,5,https://cdn.rebrickable.com/media/sets/7857-1.jpg
78579-1,Action Pack (Target Exclusive),1998,50,0,https://cdn.rebrickable.com/media/sets/78579-1.jpg
78579-2,Action Pack,1998,50,0,https://cdn.rebrickable.com/media/sets/78579-2.jpg
7858-1,Remote Controlled Points Right 12v,1980,234,12,https://cdn.rebrickable.com/media/sets/7858-1.jpg
7859-1,Remote Controlled Points Left 12v,1980,234,12,https://cdn.rebrickable.com/media/sets/7859-1.jpg
78597-1,Extreme Action Pack,1999,87,0,https://cdn.rebrickable.com/media/sets/78597-1.jpg
7860-1,Remote Controlled Signal 12v,1980,234,24,https://cdn.rebrickable.com/media/sets/7860-1.jpg
786-1,Storage Cloth,1980,473,1,https://cdn.rebrickable.com/media/sets/786-1.jpg
7861-1,Lighting Set Electric 12v,1980,234,28,https://cdn.rebrickable.com/media/sets/7861-1.jpg
7862-1,Remote Controlled Decoupling,1981,234,16,https://cdn.rebrickable.com/media/sets/7862-1.jpg
